domain,category_names
mojang.com,"business,entertainment,games"
logitech.com,"business,education,information-tech"
livescience.com,"education,news and media"
minecraftforum.net,"entertainment,games"
teamspeak.com,"business,information-tech"
savefrom.net,"business,information-tech"
trellian.com,"business,information-tech"
wallpapersafari.com,business
hellcase.com,"business,education"
aminoapps.com,business
watchcartoononline.io,"entertainment,streaming-media"
resourcepack.net,"education,games"
getpaint.net,"business,education,information-tech"
vokut.com,business
oberlo.com,business
9minecraft.net,"education,games"
champion.gg,education
marketgid.com,"business,education"
icdn.ru,"business,education"
paint.net,business
svscomics.com,"adult,entertainment"
gosunoob.com,"education,entertainment,games"
pussysaga.com,"adult,business"
yourvideofile.org,business
eepurl.com,business
directupload.net,media-sharing
shazam.com,"business,entertainment"
teefury.com,"business,shopping"
adult3dgames.com,"adult,games"
drivereasy.com,"business,information-tech"
explosm.net,entertainment
psychologytoday.com,"education,health"
worldofwarcraft.com,"business,education,entertainment"
theporndude.com,adult
uploaded.net,media-sharing
nutaku.net,adult
linkshrink.net,business
openoffice.org,"business,education"
majornelson.com,"business,entertainment"
trionworlds.com,"business,entertainment,games"
curse.com,"business,games"
searchlock.com,search-engines and portals
game-debate.com,"education,entertainment"
furaffinity.net,"business,education,entertainment"
worldofwarships.com,"business,education,games"
cartoontube.com,adult
mixtape.moe,"business,media-sharing"
ko-fi.com,"business,entertainment"
roosterteeth.com,"business,education,entertainment"
sta.sh,media-sharing
itstillworks.com,"education,information-tech"
iplocation.net,information-tech
abc7ny.com,news and media
cams.com,adult
creativebloq.com,"business,education"
spicybigbutt.com,adult
usmagazine.com,entertainment
vshare.eu,"information-tech,media-sharing"
alphacoders.com,"entertainment,media-sharing"
tv.com,entertainment
tripod.com,"business,information-tech"
clkmg.com,"business,information-tech"
gorillavid.in,"adult,entertainment,streaming-media"
everydayhealth.com,health
nchsoftware.com,"business,information-tech,media-sharing"
animenewsnetwork.com,entertainment
keywordblocks.com,"advertising,business,information-tech"
wordpress.org,"business,information-tech"
mnetads.com,information-tech
pixiv.net,"business,education"
otakukart.com,entertainment
creativemarket.com,"business,shopping"
brusheezy.com,business
creativecommons.org,"business,education"
tvtropes.org,"education,entertainment"
sportskeeda.com,"entertainment,sports"
payscale.com,business
portforward.com,"business,information-tech"
chevrolet.com,"business,shopping,vehicles"
xspl.it,"business,information-tech,streaming-media"
foodnetwork.co.uk,"business,food and recipes"
altpress.com,"business,education,entertainment"
rosegal.com,shopping
universe.com,business
fda.gov,"business,education,health"
torrid.com,shopping
navy.mil,"business,education"
passmark.com,information-tech
stileproject.com,adult
msi.com,business
convertio.co,information-tech
phys.org,education
filedropper.com,"information-tech,media-sharing"
turbofuture.com,"business,information-tech,shopping"
dotesports.com,"business,entertainment,news and media"
fool.com,economy and finance
sciencemag.org,education
cracked.com,"education,entertainment"
stratalys.com,"business,education"
smartpanel.io,business
ndtv.com,news and media
rollingstone.com,"entertainment,news and media"
lovetoknow.com,"business,education,shopping"
mariowiki.com,games
southwest.com,travel
macworld.co.uk,"business,information-tech,news and media"
autodesk.com,business
